,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,car,0.64
11,car,0.84
12,car,0.95
13,car,0.98
14,car,0.98
15,car,0.97
16,car,0.97
17,car,0.98
18,car,0.98
19,car,0.98
20,car,0.94
21,car,0.84
22,car,0.88
23,car,0.88
24,car,0.93
25,car,0.93
26,car,0.88
27,car,0.93
28,car,0.96
29,car,0.94
30,car,0.95
31,car,0.96
32,car,0.94
33,car,0.96
34,car,0.95
35,car,0.87
36,car,0.96
37,car,0.95
38,car,0.74
39,car,0.71
40,car,0.76
41,none,0.0
42,car,0.93
43,car,0.93
44,car,0.96
45,car,0.96
46,car,0.87
47,car,0.98
48,car,0.93
49,car,0.96
50,car,0.96
51,car,0.95
52,car,0.96
53,car,0.95
54,car,0.95
55,car,0.94
56,car,0.97
57,car,0.92
58,car,0.89
59,car,0.88
60,car,0.81
61,car,0.91
62,car,0.99
63,car,0.99
64,car,0.97
65,car,0.97
66,car,0.79
67,none,0.0
68,none,0.0
69,none,0.0
70,none,0.0
71,none,0.0
72,none,0.0
73,none,0.0
74,none,0.0
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,none,0.0
80,none,0.0
81,none,0.0
82,none,0.0
83,none,0.0
84,none,0.0
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,car,0.61
97,car,0.74
98,car,0.95
99,car,0.98
100,car,0.97
101,car,0.98
102,car,0.95
103,car,0.97
104,car,0.97
105,car,0.98
106,car,0.98
107,car,0.93
108,car,0.94
109,car,0.74
110,car,0.89
111,car,0.87
112,car,0.9
113,car,0.93
114,car,0.89
115,car,0.88
116,car,0.94
117,car,0.91
118,car,0.88
119,car,0.91
120,car,0.95
121,car,0.96
122,car,0.94
123,car,0.95
124,car,0.96
125,car,0.96
126,car,0.94
127,car,0.96
128,car,0.9
129,car,0.94
130,car,0.93
131,car,0.89
132,car,0.95
133,car,0.91
134,car,0.89
135,car,0.71
136,car,0.95
137,car,0.99
138,car,0.99
139,car,0.98
140,car,0.97
141,car,0.93
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,none,0.0
156,none,0.0
157,none,0.0
158,none,0.0
159,none,0.0
160,none,0.0
