,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,none,0.0
14,none,0.0
15,none,0.0
16,none,0.0
17,none,0.0
18,suitcase,0.55
19,none,0.0
20,none,0.0
21,none,0.0
22,none,0.0
23,none,0.0
24,none,0.0
25,suitcase,0.61
26,none,0.0
27,suitcase,0.53
28,suitcase,0.5
29,suitcase,0.53
30,suitcase,0.55
31,suitcase,0.63
32,none,0.0
33,none,0.0
34,none,0.0
35,none,0.0
36,none,0.0
37,none,0.0
38,none,0.0
39,traffic light,0.51
40,none,0.0
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,none,0.0
58,none,0.0
59,none,0.0
60,none,0.0
61,none,0.0
62,none,0.0
63,suitcase,0.59
64,none,0.0
65,none,0.0
66,none,0.0
67,none,0.0
68,suitcase,0.5
69,none,0.0
70,none,0.0
71,suitcase,0.55
72,none,0.0
73,none,0.0
74,none,0.0
75,none,0.0
76,none,0.0
77,none,0.0
78,none,0.0
79,none,0.0
80,none,0.0
81,none,0.0
82,none,0.0
83,none,0.0
84,none,0.0
85,none,0.0
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,suitcase,0.58
108,suitcase,0.59
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,suitcase,0.52
115,none,0.0
116,none,0.0
117,none,0.0
118,none,0.0
119,none,0.0
120,none,0.0
121,none,0.0
122,none,0.0
123,none,0.0
124,none,0.0
125,none,0.0
126,none,0.0
127,none,0.0
128,none,0.0
129,none,0.0
130,none,0.0
131,none,0.0
132,none,0.0
133,none,0.0
134,none,0.0
135,none,0.0
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,suitcase,0.54
146,none,0.0
147,suitcase,0.61
148,suitcase,0.56
149,suitcase,0.53
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,suitcase,0.55
156,suitcase,0.57
157,none,0.0
158,none,0.0
159,none,0.0
160,none,0.0
161,none,0.0
162,none,0.0
163,none,0.0
164,none,0.0
165,none,0.0
166,none,0.0
