,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,bench,0.62
14,chair,0.66
15,chair,0.87
16,chair,0.92
17,chair,0.78
18,chair,0.98
19,chair,0.98
20,chair,0.92
21,chair,0.94
22,chair,0.96
23,chair,0.97
24,chair,0.97
25,chair,0.99
26,chair,0.98
27,chair,0.97
28,chair,0.97
29,chair,0.98
30,chair,0.98
31,chair,0.99
32,chair,0.93
33,chair,0.99
34,chair,0.99
35,chair,0.97
36,chair,0.91
37,chair,0.99
38,chair,0.96
39,chair,0.99
40,chair,0.98
41,chair,0.91
42,chair,0.91
43,chair,0.7
44,chair,0.82
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,none,0.0
58,none,0.0
59,none,0.0
60,none,0.0
61,none,0.0
62,none,0.0
63,none,0.0
64,none,0.0
65,none,0.0
66,none,0.0
67,chair,0.69
68,chair,0.93
69,chair,0.91
70,chair,0.92
71,chair,0.9
72,chair,0.96
73,chair,0.99
74,chair,0.98
75,chair,0.96
76,chair,0.91
77,chair,0.99
78,chair,0.96
79,chair,0.99
80,chair,0.9
81,chair,0.98
82,chair,0.96
83,chair,0.98
84,chair,0.96
85,chair,0.98
86,chair,0.98
87,chair,0.95
88,chair,0.98
89,chair,0.93
90,chair,0.96
91,chair,0.98
92,chair,0.91
93,chair,0.96
94,chair,0.85
95,chair,0.93
96,bench,0.68
97,chair,0.56
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,none,0.0
108,none,0.0
109,none,0.0
110,none,0.0
111,none,0.0
112,none,0.0
113,none,0.0
114,none,0.0
115,none,0.0
116,chair,0.51
117,chair,0.59
118,none,0.0
119,chair,0.69
120,chair,0.97
121,chair,0.96
122,chair,0.98
123,chair,0.94
124,chair,0.99
125,chair,0.98
126,chair,0.96
127,chair,0.93
128,chair,0.94
129,chair,0.9
130,chair,0.96
131,chair,0.96
132,chair,0.98
133,chair,0.94
134,chair,0.98
135,chair,0.87
136,chair,0.95
137,chair,0.97
138,chair,0.99
139,chair,0.97
140,chair,0.98
141,chair,0.99
142,chair,0.86
143,chair,0.98
144,chair,0.98
145,chair,0.95
146,chair,0.9
147,chair,0.93
148,chair,0.95
149,chair,0.5
150,none,0.0
151,none,0.0
152,none,0.0
153,none,0.0
154,none,0.0
155,none,0.0
156,none,0.0
157,none,0.0
158,none,0.0
159,none,0.0
160,none,0.0
161,none,0.0
162,none,0.0
163,none,0.0
164,none,0.0
165,none,0.0
166,chair,0.76
167,chair,0.84
168,chair,0.84
169,chair,0.95
170,chair,0.87
171,chair,0.68
172,chair,0.94
173,chair,0.95
174,chair,0.98
175,chair,0.97
176,chair,0.97
177,chair,0.97
178,chair,0.99
179,chair,0.99
180,chair,0.98
181,chair,0.99
182,chair,0.99
183,chair,0.95
184,chair,0.84
185,chair,0.85
186,chair,0.98
187,chair,0.98
188,chair,0.98
189,chair,0.98
190,chair,0.94
191,chair,0.86
192,chair,0.98
193,chair,0.74
194,chair,0.99
195,chair,0.97
196,chair,0.91
197,bench,0.68
198,chair,0.62
199,none,0.0
200,none,0.0
201,none,0.0
