,category,score
0,none,0.0
1,none,0.0
2,none,0.0
3,none,0.0
4,none,0.0
5,none,0.0
6,none,0.0
7,none,0.0
8,none,0.0
9,none,0.0
10,none,0.0
11,none,0.0
12,none,0.0
13,chair,0.89
14,chair,0.95
15,chair,0.99
16,chair,0.99
17,chair,0.96
18,chair,0.86
19,chair,0.98
20,chair,0.68
21,chair,0.91
22,chair,0.91
23,chair,0.78
24,chair,0.8
25,chair,0.72
26,chair,0.9
27,chair,0.8
28,chair,0.92
29,chair,0.69
30,chair,0.75
31,chair,0.96
32,chair,0.95
33,chair,0.51
34,chair,0.94
35,chair,0.98
36,chair,0.89
37,chair,0.88
38,chair,0.91
39,chair,0.85
40,chair,0.64
41,none,0.0
42,none,0.0
43,none,0.0
44,none,0.0
45,none,0.0
46,none,0.0
47,none,0.0
48,none,0.0
49,none,0.0
50,none,0.0
51,none,0.0
52,none,0.0
53,none,0.0
54,none,0.0
55,none,0.0
56,none,0.0
57,none,0.0
58,none,0.0
59,chair,0.96
60,chair,0.94
61,chair,0.8
62,chair,0.71
63,chair,0.98
64,chair,0.93
65,chair,0.97
66,chair,0.97
67,chair,0.88
68,chair,0.83
69,chair,0.92
70,chair,0.7
71,chair,0.76
72,chair,0.94
73,chair,0.89
74,chair,0.9
75,chair,0.66
76,chair,0.89
77,chair,0.89
78,chair,0.73
79,chair,0.6
80,chair,0.98
81,chair,0.89
82,chair,0.97
83,chair,0.96
84,chair,0.96
85,chair,0.86
86,none,0.0
87,none,0.0
88,none,0.0
89,none,0.0
90,none,0.0
91,none,0.0
92,none,0.0
93,none,0.0
94,none,0.0
95,none,0.0
96,none,0.0
97,none,0.0
98,none,0.0
99,none,0.0
100,none,0.0
101,none,0.0
102,none,0.0
103,none,0.0
104,none,0.0
105,none,0.0
106,none,0.0
107,chair,0.73
108,chair,0.98
109,chair,0.98
110,chair,0.99
111,chair,0.99
112,chair,0.92
113,chair,0.94
114,chair,0.95
115,chair,0.96
116,chair,0.73
117,none,0.0
118,chair,0.87
119,none,0.0
120,chair,0.73
121,chair,0.9
122,chair,0.82
123,chair,0.85
124,none,0.0
125,chair,0.78
126,chair,0.96
127,chair,0.75
128,chair,0.9
129,chair,0.79
130,chair,0.97
131,chair,0.68
132,chair,0.9
133,chair,0.96
134,none,0.0
135,none,0.0
136,none,0.0
137,none,0.0
138,none,0.0
139,none,0.0
140,none,0.0
141,none,0.0
142,none,0.0
143,none,0.0
144,none,0.0
145,none,0.0
146,none,0.0
147,none,0.0
148,none,0.0
149,none,0.0
150,chair,0.92
151,chair,0.76
152,chair,0.82
153,chair,0.85
154,chair,0.88
155,chair,0.97
156,chair,0.96
157,chair,0.85
158,chair,0.77
159,chair,0.86
160,chair,0.9
161,chair,0.93
162,chair,0.93
163,chair,0.89
164,none,0.0
165,chair,0.71
166,chair,0.91
167,chair,0.83
168,chair,0.76
169,chair,0.82
170,chair,0.87
171,chair,0.64
172,chair,0.99
173,chair,0.99
174,chair,0.98
175,chair,0.93
176,chair,0.89
177,none,0.0
178,none,0.0
179,none,0.0
180,none,0.0
