,category,score
11,person,0.97
12,person,0.96
13,person,0.99
14,person,0.98
15,person,0.93
16,person,0.99
17,person,0.94
18,person,0.98
19,person,0.99
20,person,0.99
21,person,1.0
22,person,0.99
23,person,1.0
24,person,0.99
25,person,1.0
26,person,1.0
27,person,0.99
28,person,1.0
29,person,0.98
30,person,0.99
31,person,0.99
32,person,1.0
33,person,0.99
34,person,0.99
35,person,0.98
36,person,0.99
37,person,0.96
38,person,0.95
39,person,0.94
40,person,0.92
41,person,0.73
56,person,0.75
57,person,0.93
58,person,0.82
59,person,0.96
60,person,0.94
61,person,0.95
62,person,0.99
63,person,0.97
64,person,0.98
65,person,1.0
66,person,0.99
67,person,0.99
68,person,0.99
69,person,0.99
70,person,1.0
71,person,0.99
72,person,0.98
73,person,0.97
74,person,0.99
75,person,1.0
76,person,1.0
77,person,0.99
78,person,1.0
79,person,1.0
80,person,1.0
81,person,0.99
82,person,0.95
83,person,0.98
84,person,0.98
85,person,0.98
86,person,0.98
107,person,0.97
108,person,0.98
109,person,0.95
110,person,0.99
111,person,0.98
112,person,0.97
113,person,0.99
114,person,0.98
115,person,0.98
116,person,0.99
117,person,0.99
118,person,0.99
119,person,0.98
120,person,1.0
121,person,1.0
122,person,1.0
123,person,0.98
124,person,0.99
125,person,0.98
126,person,0.97
127,person,1.0
128,person,0.99
129,person,0.98
130,person,0.99
131,person,0.98
132,person,0.97
133,person,0.99
134,person,0.97
135,person,0.87
136,person,0.94
137,person,0.86
148,person,0.98
149,person,0.91
150,person,0.71
151,person,0.98
152,person,0.97
153,person,0.98
154,person,0.99
155,person,0.95
156,person,0.93
157,person,0.99
158,person,0.99
159,person,1.0
160,person,1.0
161,person,1.0
162,person,1.0
163,person,0.99
164,person,0.97
165,person,0.98
166,person,0.99
167,person,0.99
168,person,1.0
169,person,0.99
170,person,1.0
171,person,0.99
172,person,0.99
173,person,0.98
174,person,0.97
175,person,0.99
176,person,0.97
177,person,0.97
178,person,0.91
